City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
267,267,Atagay,RU,55.1,99.39,36.37,85,8,3.36,clear sky,0.0,0.0
268,268,Komsomolskiy,UZ,40.43,71.72,77.0,38,90,6.93,thunderstorm with light rain,0.0,0.0
269,269,Nyurba,RU,63.28,118.33,30.51,91,72,5.84,broken clouds,0.0,0.0
270,270,Carahue,CL,-38.7,-73.17,53.6,71,75,9.17,broken clouds,0.0,0.0
271,271,Maningrida,AU,-12.07,134.27,66.47,92,100,8.41,overcast clouds,0.0,0.0
272,272,Korem,ET,12.51,39.52,61.03,50,52,2.46,broken clouds,0.0,0.0
273,273,Anito,PH,12.45,125.29,79.75,84,58,5.55,broken clouds,0.0,0.0
274,274,Fairbanks,US,64.84,-147.72,60.01,62,90,3.76,overcast clouds,0.0,0.0
275,275,Kjollefjord,NO,70.95,27.35,43.3,74,89,21.77,overcast clouds,0.0,0.0
276,276,Saint Stephen,GB,50.33,-4.9,62.6,55,0,18.34,clear sky,0.0,0.0
277,277,Kendari,ID,-3.94,122.5,75.97,93,100,2.46,light rain,0.0,0.0
278,278,Coquimbo,CL,-29.95,-71.34,62.6,67,59,12.75,broken clouds,0.0,0.0
279,279,Porto Seguro,BR,-16.45,-39.06,77.0,57,40,8.05,scattered clouds,0.0,0.0
280,280,Araouane,ML,18.9,-3.53,98.31,17,63,5.99,broken clouds,0.0,0.0
281,281,Herbertpur,IN,30.45,77.73,77.9,44,100,9.6,overcast clouds,0.0,0.0
282,282,Esso,RU,55.93,158.7,30.36,93,3,3.31,clear sky,0.0,0.0
283,283,Abay,KZ,49.63,72.85,44.6,41,0,6.71,clear sky,0.0,0.0
284,284,Kenora,CA,49.82,-94.43,51.8,76,90,13.87,light intensity shower rain,0.0,0.0
285,285,Sabana De Torres,CO,7.39,-73.5,82.4,100,75,8.05,light rain,0.0,0.0
