City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
43,Georgetown,MY,5.41,100.34,77.0,100,40,3.36,thunderstorm with light rain,0.0,0.0
44,Argayash,RU,55.49,60.88,68.0,60,40,8.95,scattered clouds,0.0,0.0
45,Cayambe,EC,0.05,-78.13,69.8,46,75,8.05,broken clouds,0.0,0.0
46,Puerto Narino,CO,-3.77,-70.38,86.0,66,75,3.36,broken clouds,0.0,0.0
47,Rabo De Peixe,PT,37.8,-25.58,64.4,55,20,13.87,few clouds,0.0,0.0
48,Ilulissat,GL,69.22,-51.1,35.6,64,75,6.93,broken clouds,0.0,0.0
49,Hasaki,JP,35.73,140.83,59.0,77,75,6.93,broken clouds,0.0,0.0
50,Princeton,US,25.54,-80.41,90.0,70,20,8.05,few clouds,0.0,0.0
51,Saldanha,ZA,-33.01,17.94,59.0,72,100,11.41,light rain,0.0,0.0
52,Madras,IN,13.09,80.28,89.6,75,20,9.17,few clouds,0.0,0.0
53,Dharchula,IN,29.85,80.53,62.98,67,100,3.87,light rain,0.0,0.0
54,Bethel,US,41.37,-73.41,75.0,83,90,10.29,overcast clouds,0.0,0.0
55,Moerai,PF,-22.43,-151.33,74.55,69,2,6.2,clear sky,0.0,0.0
56,Henties Bay,NA,-22.12,14.28,57.0,90,0,6.64,clear sky,0.0,0.0
57,Luderitz,NA,-26.65,15.16,60.8,59,2,12.75,clear sky,0.0,0.0
58,Sosnovo-Ozerskoye,RU,52.52,111.54,42.53,63,98,6.49,overcast clouds,0.0,0.0
59,Upernavik,GL,72.79,-56.15,29.48,96,72,3.89,broken clouds,0.0,0.0
60,Malanje,AO,-9.54,16.34,73.89,54,67,3.4,broken clouds,0.0,0.0
61,Christchurch,NZ,-43.53,172.63,46.99,93,98,5.82,overcast clouds,0.0,0.0
62,Vryburg,ZA,-26.96,24.73,50.77,38,0,8.25,clear sky,0.0,0.0
63,Edea,CM,3.8,10.13,86.0,79,75,3.36,broken clouds,0.0,0.0
64,Segovia,ES,41.17,-4.0,78.8,21,20,3.36,few clouds,0.0,0.0
65,Mogapinyana,BW,-22.37,27.6,57.2,47,0,4.61,clear sky,0.0,0.0
66,Anadyr,RU,64.75,177.48,33.8,96,90,17.9,light rain,0.0,0.0
67,Grinnell,US,41.74,-92.72,69.8,88,90,17.22,moderate rain,0.0,0.0
68,Jacareacanga,BR,-6.22,-57.75,81.86,89,22,2.42,moderate rain,0.0,0.0
