City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
235,Bonavista,CA,48.65,-53.11,44.08,87,96,13.71,light rain,0.0,0.0
236,Gold Coast,AU,-28.0,153.43,64.99,88,40,2.24,scattered clouds,0.0,0.0
237,Darhan,MN,49.49,105.92,44.49,70,100,9.46,overcast clouds,0.0,0.0
238,Tommot,RU,58.96,126.29,44.92,67,84,8.72,broken clouds,0.0,0.0
239,Victoria,HK,22.29,114.16,80.01,88,8,11.99,clear sky,0.0,0.0
240,Codrington,AU,-38.27,141.97,47.41,93,26,8.59,scattered clouds,0.0,0.0
241,Wahiawa,US,21.5,-158.02,73.4,93,90,8.05,overcast clouds,0.0,0.0
242,Kushiro,JP,42.98,144.37,49.51,82,89,4.43,overcast clouds,0.0,0.0
243,Broome,US,42.25,-75.83,75.0,77,90,9.17,overcast clouds,0.0,0.0
244,Rio Grande City,US,26.38,-98.82,82.99,80,83,5.99,broken clouds,0.0,0.0
245,Shubarkuduk,KZ,49.14,56.49,85.03,41,0,7.0,clear sky,0.0,0.0
246,Saint Anthony,US,45.02,-93.22,68.0,52,90,5.82,overcast clouds,0.0,0.0
247,Eenhana,NA,-17.47,16.33,87.8,16,2,2.24,clear sky,0.0,0.0
248,Kosonsoy,UZ,41.26,71.55,86.0,22,75,11.41,light thunderstorm,0.0,0.0
249,San Carlos,VE,9.66,-68.58,89.37,54,78,3.04,broken clouds,0.0,0.0
250,Chopda,IN,21.25,75.3,97.05,26,0,15.03,clear sky,0.0,0.0
251,Jiangyou,CN,31.77,104.72,70.32,61,99,4.61,overcast clouds,0.0,0.0
252,Acapulco,MX,16.86,-99.89,75.2,64,40,3.36,scattered clouds,0.0,0.0
253,Beatrice,US,40.27,-96.75,69.8,73,1,13.87,clear sky,0.0,0.0
254,Budaun,IN,28.05,79.12,95.25,22,53,9.82,light rain,0.0,0.0
255,East London,ZA,-33.02,27.91,77.0,25,8,17.22,clear sky,0.0,0.0
256,Alice Springs,AU,-23.7,133.88,53.6,46,0,6.93,clear sky,0.0,0.0
257,Vila,PT,42.03,-8.16,88.0,45,40,11.41,scattered clouds,0.0,0.0
258,Leshukonskoye,RU,64.9,45.76,63.97,36,63,2.39,broken clouds,0.0,0.0
259,Tiarei,PF,-17.53,-149.33,77.0,83,1,2.24,clear sky,0.0,0.0
260,Flin Flon,CA,54.77,-101.86,37.4,100,90,11.41,mist,0.0,0.0
261,Urucui,BR,-7.23,-44.56,89.38,53,71,4.94,broken clouds,0.0,0.0
262,Honningsvag,NO,70.98,25.97,44.15,75,98,24.14,light rain,0.0,0.0
263,Gao,ML,16.64,1.64,85.53,40,100,7.47,overcast clouds,0.0,0.0
264,Lithakia,GR,37.72,20.83,75.2,47,20,11.41,few clouds,0.0,0.0
265,Saldanha,ZA,-33.01,17.94,60.8,63,100,14.99,overcast clouds,0.0,0.0
266,Guiratinga,BR,-16.35,-53.76,75.54,50,0,5.57,clear sky,0.0,0.0
267,Morwell,AU,-38.23,146.4,44.01,95,36,0.87,scattered clouds,0.0,0.0
268,Nanakuli,US,21.39,-158.15,73.4,93,90,8.05,overcast clouds,0.0,0.0
269,Manta,EC,-0.95,-80.73,78.8,74,75,4.7,broken clouds,0.0,0.0
270,Bambous Virieux,MU,-20.34,57.76,77.0,78,40,12.75,shower rain,0.0,0.0
271,Neiafu,TO,-18.65,-173.98,69.8,94,20,8.9,few clouds,0.0,0.0
272,Fukue,JP,32.69,128.84,68.04,84,65,10.47,broken clouds,0.0,0.0
273,Ankazobe,MG,-18.32,47.12,68.0,64,20,9.17,few clouds,0.0,0.0
274,Shumerlya,RU,55.5,46.41,63.52,69,35,4.16,scattered clouds,0.0,0.0
275,San Cristobal,VE,7.77,-72.22,82.4,61,40,2.24,scattered clouds,0.0,0.0
276,Lagoa,PT,39.05,-27.98,58.82,58,40,6.13,scattered clouds,0.0,0.0
277,Shimoda,JP,34.67,138.95,55.99,86,100,4.12,overcast clouds,0.0,0.0
278,Lazaro Cardenas,MX,17.96,-102.2,80.15,52,17,1.3,few clouds,0.0,0.0
279,Gedo,ET,9.02,37.45,60.06,96,88,3.38,light rain,0.0,0.0
280,Vanimo,PG,-2.67,141.3,79.29,84,99,7.81,light rain,0.0,0.0
281,Rabo De Peixe,PT,37.8,-25.58,64.4,59,20,14.99,few clouds,0.0,0.0
282,Candido De Abreu,BR,-24.57,-51.33,70.61,36,0,1.45,clear sky,0.0,0.0
283,Malanje,AO,-9.54,16.34,83.98,38,73,4.27,broken clouds,0.0,0.0
284,Znamenskoye,RU,57.13,73.83,60.46,80,99,6.55,light rain,0.0,0.0
285,Warmbad,NA,-28.45,18.73,69.35,21,0,1.45,clear sky,0.0,0.0
286,Salaga,GH,8.55,-0.52,99.9,34,59,4.56,broken clouds,0.0,0.0
287,Isangel,VU,-19.55,169.27,73.62,85,19,9.44,few clouds,0.0,0.0
288,Mocuba,MZ,-16.84,36.99,73.44,86,62,5.59,broken clouds,0.0,0.0
289,Bardiyah,LY,31.76,25.09,69.3,53,0,19.06,clear sky,0.0,0.0
290,Opuwo,NA,-18.06,13.84,84.09,18,0,5.84,clear sky,0.0,0.0
291,Popondetta,PG,-8.75,148.25,73.53,92,96,3.29,overcast clouds,0.0,0.0
292,Sabang,ID,5.89,95.32,84.27,77,51,6.42,broken clouds,0.0,0.0
293,Adrar,MR,20.5,-10.07,104.92,9,12,6.4,few clouds,0.0,0.0
294,Alindao,CF,5.03,21.21,81.9,87,100,4.97,moderate rain,0.0,0.0
295,The Pas,CA,53.83,-101.25,41.0,93,90,12.75,overcast clouds,0.0,0.0
